code,name,department_id
25151,CÁQUEZA,11
25154,CARMEN DE CARUPA,11
25168,CHAGUANÍ,11
25175,CHÍA,11
25178,CHIPAQUE,11
25181,CHOACHÍ,11
25183,CHOCONTÁ,11
25200,COGUA,11
25214,COTA,11
25224,CUCUNUBÁ,11
25245,EL COLEGIO,11
25258,EL PEÑÓN,11
25260,EL ROSAL,11
25269,FACATATIVÁ,11
25279,FÓMEQUE,11
25281,FOSCA,11
25286,FUNZA,11
25288,FÚQUENE,11
25290,FUSAGASUGÁ,11
25293,GACHALÁ,11
25295,GACHANCIPÁ,11
25297,GACHETÁ,11
25299,GAMA,11
25307,GIRARDOT,11
25312,GRANADA,11
25317,GUACHETÁ,11
25320,GUADUAS,11
25322,GUASCA,11
25324,GUATAQUÍ,11
25326,GUATAVITA,11
25328,GUAYABAL DE SÍQUIMA,11
25335,GUAYABETAL,11
25339,GUTIÉRREZ,11
25368,JERUSALÉN,11
25372,JUNÍN,11
25377,LA CALERA,11
25386,LA MESA,11
25394,LA PALMA,11
25398,LA PEÑA,11
25402,LA VEGA,11
25407,LENGUAZAQUE,11
25426,MACHETÁ,11
25430,MADRID,11
25436,MANTA,11
25438,MEDINA,11
25473,MOSQUERA,11
25483,NARIÑO,11
25486,NEMOCÓN,11
25488,NILO,11
25489,NIMAIMA,11
25491,NOCAIMA,11
25506,VENECIA,11
25513,PACHO,11
25518,PAIME,11
25524,PANDI,11
25530,PARATEBUENO,11
25535,PASCA,11
25572,PUERTO SALGAR,11
25580,PULÍ,11
25592,QUEBRADANEGRA,11
25594,QUETAME,11
25596,QUIPILE,11
25599,APULO,11
25612,RICAURTE,11
25645,SAN ANTONIO DEL TEQUENDAMA,11
25649,SAN BERNARDO,11
25653,SAN CAYETANO,11
25658,SAN FRANCISCO,11
25662,SAN JUAN DE RIOSECO,11
25718,SASAIMA,11
25736,SESQUILÉ,11
25740,SIBATÉ,11
25743,SILVANIA,11
25745,SIMIJACA,11
25754,SOACHA,11
25758,SOPÓ,11
25769,SUBACHOQUE,11
25772,SUESCA,11
25777,SUPATÁ,11
25779,SUSA,11
25781,SUTATAUSA,11
25785,TABIO,11
25793,TAUSA,11
25797,TENA,11
25799,TENJO,11
25805,TIBACUY,11
25807,TIBIRITA,11
25815,TOCAIMA,11
25817,TOCANCIPÁ,11
25823,TOPAIPÍ,11
25839,UBALÁ,11
25841,UBAQUE,11
25843,VILLA DE SAN DIEGO DE UBATÉ,11
25845,UNE,11
25851,ÚTICA,11
25862,VERGARA,11
25867,VIANÍ,11
25871,VILLAGÓMEZ,11
25873,VILLAPINZÓN,11
25875,VILLETA,11
25878,VIOTÁ,11
25885,YACOPÍ,11
25898,ZIPACÓN,11
25899,ZIPAQUIRÁ,11
27001,QUIBDÓ,12
27006,ACANDÍ,12
27025,ALTO BAUDÓ,12
27050,ATRATO,12
27073,BAGADÓ,12
27075,BAHÍA SOLANO,12
27077,BAJO BAUDÓ,12
27099,BOJAYÁ,12
27135,EL CANTÓN DEL SAN PABLO,12
27150,CARMEN DEL DARIÉN,12
27160,CÉRTEGUI,12
27205,CONDOTO,12
27245,EL CARMEN DE ATRATO,12
27250,EL LITORAL DEL SAN JUAN,12
27361,ISTMINA,12
27372,JURADÓ,12
27413,LLORÓ,12
27425,MEDIO ATRATO,12
27430,MEDIO BAUDÓ,12
27450,MEDIO SAN JUAN,12
27491,NÓVITA,12
27493,NUEVO BELÉN DE BAJIRÁ,12
27495,NUQUÍ,12
27580,RÍO IRÓ,12
27600,RÍO QUITO,12
27615,RIOSUCIO,12
27660,SAN JOSÉ DEL PALMAR,12
27745,SIPÍ,12
27787,TADÓ,12
27800,UNGUÍA,12
27810,UNIÓN PANAMERICANA,12
41001,NEIVA,13
41006,ACEVEDO,13
41013,AGRADO,13
41016,AIPE,13
41020,ALGECIRAS,13
41026,ALTAMIRA,13
41078,BARAYA,13
41132,CAMPOALEGRE,13
41206,COLOMBIA,13
41244,ELÍAS,13
41298,GARZÓN,13
41306,GIGANTE,13
41319,GUADALUPE,13
41349,HOBO,13
41357,ÍQUIRA,13
41359,ISNOS,13
41378,LA ARGENTINA,13
41396,LA PLATA,13
41483,NÁTAGA,13
41503,OPORAPA,13
41518,PAICOL,13
41524,PALERMO,13
41530,PALESTINA,13
41548,PITAL,13
41551,PITALITO,13
41615,RIVERA,13
41660,SALADOBLANCO,13
41668,SAN AGUSTÍN,13
41676,SANTA MARÍA,13
41770,SUAZA,13
41791,TARQUI,13
41797,TESALIA,13
41799,TELLO,13
41801,TERUEL,13
41807,TIMANÁ,13
41872,VILLAVIEJA,13
41885,YAGUARÁ,13
44001,RIOHACHA,14
44035,ALBANIA,14
44078,BARRANCAS,14
44090,DIBULLA,14
44098,DISTRACCIÓN,14
44110,EL MOLINO,14
44279,FONSECA,14
44378,HATONUEVO,14
44420,LA JAGUA DEL PILAR,14
44430,MAICAO,14
44560,MANAURE,14
44650,SAN JUAN DEL CESAR,14
44847,URIBIA,14
44855,URUMITA,14
44874,VILLANUEVA,14
47001,SANTA MARTA,15
47030,ALGARROBO,15
47053,ARACATACA,15
47058,ARIGUANÍ,15
47161,CERRO DE SAN ANTONIO,15
47170,CHIVOLO,15
47189,CIÉNAGA,15
47205,CONCORDIA,15
47245,EL BANCO,15
47258,EL PIÑÓN,15
47268,EL RETÉN,15
47288,FUNDACIÓN,15
47318,GUAMAL,15
47460,NUEVA GRANADA,15
47541,PEDRAZA,15
47545,PIJIÑO DEL CARMEN,15
47551,PIVIJAY,15
47555,PLATO,15
47570,PUEBLOVIEJO,15
47605,REMOLINO,15
47660,SABANAS DE SAN ÁNGEL,15
47675,SALAMINA,15
47692,SAN SEBASTIÁN DE BUENAVISTA,15
47703,SAN ZENÓN,15
47707,SANTA ANA,15
47720,SANTA BÁRBARA DE PINTO,15
47745,SITIONUEVO,15
47798,TENERIFE,15
47960,ZAPAYÁN,15
47980,ZONA BANANERA,15
50001,VILLAVICENCIO,16
50006,ACACÍAS,16
50110,BARRANCA DE UPÍA,16
50124,CABUYARO,16
50150,CASTILLA LA NUEVA,16
50223,CUBARRAL,16
50226,CUMARAL,16
50245,EL CALVARIO,16
50251,EL CASTILLO,16
50270,EL DORADO,16
50287,FUENTE DE ORO,16
50313,GRANADA,16
50318,GUAMAL,16
50325,MAPIRIPÁN,16
50330,MESETAS,16
50350,LA MACARENA,16
50370,URIBE,16
50400,LEJANÍAS,16
50450,PUERTO CONCORDIA,16
50568,PUERTO GAITÁN,16
50573,PUERTO LÓPEZ,16
